Location,Date,Name,Party,Title,Accusation,Info,Source
,,,Republican,,,    Republican Southern Baptist megachurch pastor Paul Williams faces charges of molesting his son https://t.co/1E5yrAUNp2,
,,,Republican,,,    https://baptistnews.com/article/bellevue-report-assistant-pastor-guilty-of-sex-abuse-against-son/,
,,,Republican,,,"    Chairman of the Young Republican National Federation, Glenn Murphy Jr., from Indiana was busted for assaulting another man. Not the first time it's happened. https://t.co/orCe48HdFe",
,,,Republican,,,    Republican Township Supervisor Robert Holland pleaded guilty to sexually assaulting a 92-year-old nursing home resident in 2006. He was given a two-to-four year sentence. Ex-town official sentenced for molesting patient http://findarticles.eom/p/articles/mi_kmtpi/is_200703/ai_nl8699927,
,,,Republican,,,    Antigay pastor Leonard Ray Owens told a woman who had miscarriage she was possessed by a sex spirit and lesbian demon so he raped hert.  https://t.co/b3F5ziujHa,
,,,Republican,,,    GOP State Rep & House Minority Leader Galen Fox convicted of molesting a woman who was a flight with him from Honolulu to Los Angeles https://t.co/Y83V89qrF7,
,,,Republican,,,"    Albert Andre Zimmerman, GOP-appointed spokesperson for the State of Florida Department of Children and Families, producing child porn",
,,,Republican,,,    The Wrong Voice http://www.newsweek.com/id/110658,
,,,Republican,,,"    The Republican Mayor of Collins Missouri, and Pastor of the Temple Lot Church in Collins, Allen D. Kauffman caught in internet sting by adult pretending to be 13 https://t.co/gDNZVBjzXd ",
,,,Republican,,,"    Dana Rorabacher's aide Jeffrey Nielson, sex with underage boys https://t.co/kAikbXTEwJ",
,,,Republican,,,"    SD State GOP Rep Ted Klaudt: rape, sexual exploitation of a minor, witness tampering, stalking. Five victims, three foster children who lived with Klaudt. https://en.wikipedia.org/wiki/Ted_Klaudt",
,,,Republican,,,"    Elyria Ohio city councilman, Republican Joseph Monteleone Jr. was found guilty of fondling underage girls https://t.co/9BDj1kBpQA",
,,,Republican,,,    GOP County Commissioner Patrick Lee McGuire child molestation https://t.co/osEUFN3FxK,
,,,Republican,,,    Republican Mayor Jeffrey Kyle Randall was sentenced nine months in jail and six years on probation on charges that he molested two boys https://t.co/eCcEJJbgN0,
,,,Republican,,,"     Republican Judge Donald Thompson from Oklahoma, was found guilty on four counts of indecent exposure after using a penis pump while presiding over court cases.",
,,,Republican,,,    http://www.usatoday.com/news/nation/2006-08-18-judge-sentenced_x.htm,
,,,Republican,,,"    Ohio GOP Caucus lawyer Stephen Linnen - ""Naked Photographer"" a moniker suggesting his snapping pics of women in the nude was harmless. It was not https://t.co/Q5JCjHkBYh",
,,,Republican,,,    Texas: Kaufman Co.Sheriff candidate Eddie Frankum ndicted for sexual harassment and illegally detaining women while police chief.,
,,,Republican,,,    https://t.co/jd9TAdofzb,
,,,Republican,,,"    GOP campaign volunteer and national convention delegate Ted Bundy - kidnapping, rape, murder  https://en.wikipedia.org/wiki/Ted_Bundy",
,,,Republican,,,    Gun activist Cody Wilson- child sexual assault,
,,,Republican,,,    https://www.nbcnews.com/news/us-news/3-d-gun-advocate-cody-wilson-charged-sexual-assault-n91116,
,,,Republican,,,"    Christian Television Network entertainer Ronald William Brown convicted for child porn, the rest is just too disturbing to go into https://t.co/QT2IaOs098",
,,,Republican,,,"    GOP state Senate aide Alan Berlin - internet child sex. I don't care about him being a furry. I know a few furries who are lovely people, including one of my nephews. They are not pedophiles. https://t.co/LzzEQZdZTT",
,,,Republican,,,    Trump White House aide Rob Porter - domestic violence https://www.cnn.com/2018/02/07/politics/rob-porter-ex-wives-white-house/index.html,
,,,Republican,,,"    Roger Ailes, Republican propagandist, sexual harassment https://money.cnn.com/2017/05/18/media/timeline-roger-ailes-last-year/index.html",
,,,Republican,,,"    Jason Miller, Trump campaign staffer and Trump advocate on CNN - poisoned ex with abortion pill It's not the sex, it's not the desire for abortion, it's the doing it against her will https://www.thewrap.com/cnn-jason-miller-pressure-drop-abortion-pill-accusations/",
,,,Republican,,,    GOP megadonor Steve Wynn - sexual harassment and rape https://www.nytimes.com/2018/01/26/business/steve-wynn-sexual-misconduct-claims.html,
,,,Republican,,,    https://www.npr.org/2020/10/21/925827821/gop-welcomes-steve-wynns-millions-despite-rape-and-harassment-allegations,
,,,Republican,,,    Michael Cohen used threats and money to silence women and reporters who could expose sexual predator @RealDonaldTrump http://nymag.com/daily/intelligencer/2018/05/listen-to-michael-cohen-make-unhinged-threats-to-a-reporter.html,
,,,Republican,,,    GOP Rep Patrick Meehan sexual harassment https://www.nytimes.com/2018/01/20/us/politics/patrick-meehan-sexual-harassment.html?mtrref=undefined,
,,,Republican,,,    GOP Congressman Blake Farenthold - sexual harassment https://www.rollcall.com/news/politics/farenthold-resigns-after-sexual-harassment-scandal,
,,,Republican,,,    Former Republican WY Sec of State Ed Murray - sexual assault https://trib.com/news/state-and-regional/govt-and-politics/wyoming-secretary-of-state-ed-murray-resigns-move-caps-dramatic/article_bedfdade-a590-5442-ada2-57879cdea5ba.html,
,,,Republican,,,    KY GOP state legislator Dan Johnson accused of sexual assault of 17 year-old. Killed himself http://www.wdrb.com/story/37062873/rep-dan-johnson-commits-suicide-on-bridge-in-mt-washington,
,,,Republican,,,"    OR GOP state senator, Jeff Kruse, subjected two women senators to unwanted sexual touching https://www.oregonlive.com/politics/index.ssf/2018/02/post_200.html",
,,,Republican,,,    Pennsylvania Republican state rep Nick Miccarelli - domestic violence http://www2.philly.com/philly/news/politics/state/rep-nick-miccarelli-allegations-sex-abuse-complaint-ridley-delaware-county-20180228.html,
,,,Republican,,,"    Republican CO state senator Randy Baumgardner - sexual harassment, http://www.kunc.org/post/new-investigation-concludes-sen-baumgardner-created-offensive-work-environment-capitol#stream/0",
,,,Republican,,,"    OH state representative, Republican Wes Goodman - inappropriate behavior",
,,,Republican,,,    https://www.nytimes.com/2017/11/19/us/politics/wes-goodman-ohio-republican.html,
,,,Republican,,,    He was also accused of fondling an underage boy https://www.washingtonpost.com/politics/how-a-conservative-group-dealt-with-a-fondling-charge-against-a-rising-gop-star/2017/11/17/b3b4b8da-c956-11e7-b0cf-7689a9f2d84e_story.html?utm_term=.50f99a2fc135&noredirect=on,
,,,Republican,,,    MN state rep Tony Cornish - sexual harassment https://www.twincities.com/2017/11/28/minnesota-rep-tony-cornish-submits-letter-of-resignation-to-dayton/,
,,,Republican,,,    AZ state rep Don Shooter - sexual harassment https://azcapitoltimes.com/news/2018/01/30/arizona-don-shooter-sexually-harassed-women-hostile-work-environment/,
,,,Republican,,,"    FL state senator Jack Latvala - sexual harassment, assault http://www.tampabay.com/florida-politics/buzz/2017/12/19/investigation-concludes-sen-jack-latvalas-conduct-may-be-criminal/",
,,,Republican,,,    He reached a settlement,
,,,Republican,,,    https://www.cltampa.com/news/clearwater-republican-and-former-senator-jack-latvala-reaches-ethics-settlement-after-sexual-harassment-allegations-13749796,
,,,Republican,,,    KY state rep Jeff Hoover sexual harassment https://www.courier-journal.com/story/news/politics/ky-legislature/2017/11/05/jeff-hoover-resigns-house-speaker-over-sexual-harassment-cover-up/833385001/,
,,,Republican,,,"    Idaho GOP state rep Brandon Hixon - child molestation, committed suicide https://www.nbcnews.com/storyline/sexual-misconduct/idaho-politician-who-resigned-following-sexual-assault-allegations-found-dead-n836211",
,,,Republican,,,    Republican Ohio state senator Cliff Hite - sexual harassment https://www.cleveland.com/open/2017/10/new_documents_allege_former_oh.html,
,,,Republican,,,    Cumberland County Commissioner Bruce Barclay is not included because he hired male and female prostitutes every week. He’s included because he taped them without their knowledge. http://www.foxnews.com/story/2008/04/10/cops-ex-pennsylvania-official-used-hidden-cameras-to-tape-sex-trysts.html,
,,,Republican,,,    PA GOP Congressional candidate Derek Walker - broker into ex’s house to tape her having sex,
,,,Republican,,,    https://www.wonkette.com/republican-congressional-candidate-videotapes-people-having-sex,
,,,Republican,,,"    Franklin Graham, partisan religious leader, uses his family name & father’s credibility to protect child molestors and sexual predators, including Trump, Roy Moore, and Kavanaugh https://www1.cbn.com/cbnnews/2018/september/franklin-graham-on-judge-kavanaugh-accusation-not-relevant",
,,,Republican,,,"    Republican Judge Alex Kozinski, Brett Kavanaugh’s mentor: sexual harassment https://en.wikipedia.org/wiki/Alex_Kozinski",
,,,Republican,,,    Trump Deputy Chief of Staff for Communication Bill Shine - an expert at protecting and covering up sexual harassment and abuse.,
,,,Republican,,,    https://www.vox.com/2018/7/5/17538132/bill-shine-fox-donald-trump-communications-sexual-harassment,
,,,Republican,,,    How did I forget GOP Sen. Bob Packwood - serial sexual misconduct http://www.nydailynews.com/news/politics/senator-1995-resignation-years-sexual-misconduct-article-1.3643124,
,,,Republican,,,"    Republican Columbus Mayor Dana Rinehart was never indicted for molesting 13-year-old babysitters, but years later it was discovered cop spied on her and family and worked to protect him from indictment https://apnews.com/bb1e45a9bcbb482b768bc3f4cfd5f6c6",
,,,Republican,,,    Republican Judge Samuel Barstow Kent - sexual assault  https://www.texasmonthly.com/articles/perversion-of-justice/,
,,,Republican,,,"    By the way, he thinks prison is unfair https://www.chron.com/news/houston-texas/article/Former-federal-judge-Kent-calls-prison-unfair-1718673.php",
,,,Republican,,,"    MO Gov Eric Greitens - consensual affair, BUT he took nude photos and threatened to publicize them. Yes, charges dropped, but because prosecutor was also a witness which is not allowed. Also, stealing from charity",
,,,Republican,,,    https://www.washingtonpost.com/news/the-fix/wp/2018/05/30/eric-greitens-used-trumps-playbook-to-try-to-beat-scandal-it-didnt-work/?utm_term=.db3716122724,
,,,Republican,,,,
,,,Republican,,,Update: His ex-wife accuses him of domestic violence toward her and their son.,
,,,Republican,,,https://www.thedailybeast.com/ex-wife-sheena-greitens-says-senate-hopeful-eric-greitens-viciously-abused-her-and-their-kid?ref=home,
,,,Republican,,,,
